Gene	Locus Name	Phenoptype	Chromosome
sem	semiglobosa	Smaller, compact plant; very short internodes; small dark leaves.	 
ser-2	serpentina-2	Seedlings normal; plant size almost normal; all vegetative parts, paricularly midveins and petioles irregularly elongated, resulting in twisting.	 
ser	serpentina	Curved shoots, leaves inflorescences.	 
Se	Septoria lycopersici resistance	Resistance to Septoria lycopersici.	 
ses	semisterilis	Smaller, erect, nearly unbranched plant; thick, yellowish, light gray-green leaves; weakly fertile in greenhouse, unchanged on normal graft stock.	1
sfa	sufflaminata	Usually smaller, weakly branched plant; yellowish to yellow-green, involuted pinnae, purplish ventrally; slight F1 seedling heterosis.	1
sf	solanifolia	Primary leaves entire; segments of later leaves entire and folded; filiform calyx and corolla; fruit shape often modified.	3
sf	solanifolia	Primary leaves entire; segments of later leaves entire and folded; filiform calyx and corolla.  Leaf margin finely wrinkled; flower parts small and distorted.	3
sft	single flower truss	Reduced number of flowers per inflorescence, reduced number of inflorescences; indeterminate inflorescence;  flowering is delayed; only a few inflorescences develop, before reverting to indeterminate vegetative branches that infrequently produce single fertile flowers.	3
sft	single flower truss	Suppresses determinate growth imposed by the self-pruning (sp) mutation, restores indeterminate growth; average sympodial index = 3.	3
sha	short anthers	Upper portion of anthers aborted; stigma protruding.  Plant and seeds of low viability.	 
sh	sherry	Fruit flesh yellow with reddish tinge.	10
sig-1	signal transduction-1	Deficient for production of proteinase inhibitor II in leaves following wounding	 
sig-2	signal transduction-2	Deficient for production of proteinase inhibitor II in leaves following wounding	 
si	sinuata	Small plant, proportionately reduced; wavy, yellow-green leaves.	4
sit	sitiens	Leaves overwilting and becoming necrotic; plant small and very  weak in field;  leaves short and down-curled, .	1
Skdh-1	Shikimic acid dehydrogenase-1	 	1
sl-2	stamenless-2	Stamens abortive or absent; fruit form modified. Same general features as sl except for subnormal stamens.	 
sl	stamenless	Corolla and androecium sepaloid, stigma irregular and protruding.	4
sl	stamenless	Nearly stamenless, anthers much distorted	4
sl	stamenless	Nearly stamenless, anthers much distorted; Like sl:2 except anthers nearly normal in winter greenhouse	4
sl	stamenless	Nearly stamenless, anthers much distorted; Like sl:2 except for greater anther development	4
sl	stamenless	Stamens usually reduced to mere vestiges adherent to the pistil; in the winter greenhouse stamens with normal pollen may appear; radial roughenings on the fruit surface attributed to adnation of stamens in early stages; fertile as female parent.	4
slx	serrate lax leaf	Drooping, elongate, serrate leaves.  Unknown variety from Romania.	 
sms	small seed	Endosperm almost absent; testa thin and transparent; reduced germination.	 
Sm	Stemphyllium resistance	Resistance to Stemphylium solani.	11
sn	singed	Epidermal hairs smaller; trichomes crooked, curved and otherwise distorted.	9
snt	Snout	Persistant style (beaked fruit)	 
Sod-1	Superoxide dismutase-1	 	11
Sod-2	Superoxide dismutase-2	 	1
so	soluta	Plant size normal, habit loose; pinnae narrow, pointed, deeply serrate, margins slightly elevated; similar to prunoidea but with normal fruits.	 
spa	sparsa	Plant size reduced; leaves emerge yellow-green, becoming blotched whitish yellow-green; growth nearly normal with thiamine treatment.	8
spe	splendida	Small plant; shiny, yellowish foliage; older leaves darker than younger ones.	 
Spf-2	Superpuff-2	Extremely puffy, hollow locules and bell pepper shaped fruit.	 
Spf	Superpuff	Extremely puffy, hollow locules and bell pepper shaped fruit.	 
sph	sphaerica	Smaller, spherical bush; short internodes; older leaves firm, dark green, and shiny.	 
Spi	Sympodial index	Sympodial index-two nodes.  An average of 2 leaves between successive inflorescences.	 
spl-2	splendens-2	Lax, flat bush; short leaves; small, narrow, pointed, keeled, crowded pinnae.	 
spl-3	splendens-3	Flat, dense bush; narrow, pointed, keeled pinnae.	 
spl-4	splendens-4	Distinctive seedling resembling spl; interveinal areas brilliant yellow; leaf margins tend to roll inward especially near growing point.	8
spl	splendens	Shiny, yellowish to light green, boat-shaped, rugose pinnae.	4
sp	self-pruning	Dominant allele; severe determinate growth habit; homozygous lethal.	6
sp	self-pruning	Indeterminate growth habit.	6
sp	self-pruning	Plant habit determinate.	6
sp	self-pruning	Plant habit determinate; the position of the inflorescences varies greatly within and between plants in respect to whether they recur every internode or every second internode; plants cover a much smaller space than do normal ones, but cover it more densely.	6
squa-2	spuarrosa-2	Narrow, light green cotyledons; diminutive plant, leaves, and pinnae.	 
squa	squarrosa	Small, very weak plants of squarrose habit, few branches; small, pale gray-green leaves; heterozygote intermediate in color and size.	 
sr	slender stem	Stem slender, stiff, upright, with few branches; leaves elongate, blue-green, with few segments.	 
sru	subristica	Growth always retarded, plants reaching half normal size; cotyledons short, rounded and blunt; heavily branched, internodes shortened; leaf segments broad, ovate, slightly rugose, and dark green.	 
ssp	suppressor of self-pruning	Suppresses determinate growth imposed by the self-pruning (sp) mutation, restores indeterminate growth; average sympodial index = 2	 
ss	spongy seed	Smooth but spongy seed surface.	 
stam	staminodea	Staminoid petals; anther tips free and more slender.	 
sta	stabilis	Seedlings normal with marked later reduction in growth, plants reaching 1/3 pm size; habit small round bush, internodes being proportionately much more foreshortened than leaves and strongly branched.	 
ste	sterilis	Smaller plant; numerous, rugose, smaller pinnae; many flower buds, often aborting; weak fruit and seed set.	 
stri-2	stricta-2	Larger plant, leaves, pinnae; stocky stems.	 
stri-3	stricta-3	Larger, dark to strong green pinnae, margins rolled upwards.	 
stri-4	stricta-4	Large, stocky bush; rounded, rugose, moderately dark green pinnae.	 
stri	stricta	Rigid upright growth; broader blistered leaves.	 
str	striata	Pinnae with downward rolled margins and finely dotted in yellow early, turning green later except at base.	 
st	sterile	Completely sterile; plants later become purple.	 
stu	stunted	Very slow growth; strong anthocyanin.	 
sua-2	suffusa-2	Small, keeled, light green pinnae; branched inflorescences.	 
sua	suffusa	Small, broad plant; paler leaves, yellowing prematurely.	 
sub	subtilis	Tiny plant with short internodes, fastigiate habit; narrow acute leaf segments.	11
sucr	sucrose accumulator	Accumulates predominantly sucrose in mature fruit, rather than glucose and fructose.	3
suc	succedanea	Small, weakly branched, erect plant; short, firm leaves, yellowing prematurely.	 
suf-2	sufflava-2	Larger, lighter cotyledons; small plant and leaves.	 
suf	sufflava	Uniform light green color.	2
sulf	sulfurea	Cotyledons greenish yellow, turning pale yellow; true leaves yellow; lethal unless grafted on normal stock.	2
sulf	sulfurea	Leaves variegated green-white; some homozygotes lethal unless grafted	2
sul	suckerless	reduced side-shoot formation; often a few basal shoots are produced.  Inflor. With 1 - 2 flowers only.	 
sun	Sun1642 fruit shape	Elongated fruit shape, from Sun1642.	7
sun	Sun1642 fruit shape	Wild type allele for round fruit	7
suo	subrotunda	Many slender side shoots; very small, irregularly rounded, dark gray-green pinnae.	 
sup	superba	Seedlings normal, plants later becoming strongly upright and elongated; strong mainstem and petioles; leaf sefments large, coarse, and blistered, dark, and shiny.	 
sur-2	suberosa-2	Necrotic flecks on the deformed whitish cotyledons and older pinnae.	 
Sus	Subsistens	Growth variably suppressed; few or no branches; varied meiotic abnormalities; homozygous lethal.	 
su	suffulta	Leaves deeply veined, yellow-tinged; fruit cluster upright; strong anthocyanin.	4
su	suffulta	Leaves long-petioled with dainty, deeply cut segments	4
su	suffulta	Rachis very short, leaf color yellowish gray-green; stems white, streaked green.	4
sw-2	spotted wilt resistance-2	Resistance to  Sw strains TB:1, N:2, R:2, and R:3.	 
sw-3	spotted wilt resistance-3	Reistance to SW strains R:2,R:3, and M:2.	 
sw-4	spotted wilt resistance-4	Resistance to Sw strains M:1 and M:2.	 
Sw-5	Spotted wilt resistance-5	Resistance to to Tomato Spotted Wilt Virus. From L. peruvianum.	9
Sw-7	Spotted wilt resistance-7	Resistance to Tomato Spotted Wilt Virus.	 
Sw	Spotted wilt resistance	Reisistance to strains spotted wilt TB, N, and R.	 
Sw	Spotted wilt resistance	Resistance to spotted wilt strain TB2.	 
Sx	Sepal extender	Elongated sepals; heterozygote intermediate.	 
sy	sunny	Cotyledons green bleaching to yellow; yellow virescent.	3
sy	sunny	Yellow cotyledons, growing point.	3
syv	spotted yellow virescent	Bright yellow virescent; fine whitish speckling on mature leaves; can turn necrotic.	4
tab	tabescens	Normal seedling growth followed by severe stunting; leaves irregular, yellow-green, violet veined with necrotic specklings.	11
ta	tarda	Smaller, dainty plant; leaves reduced, glossy, gray-green.	 
tc	turbinate corolla	Plant smaller; petal tips turbinate.	 
tem	tempestiva	Small plant, short internodes, leaf midribs; involuted pinnae, lighter with darker veins.	 
ten	tenuis	Very slow growth; leaves light green, reticulated with whitish yellow veins; growth partially normalized with thiamine treatment..	10
te	terminata	Determinate growth; fasciated inflorescences, flowers, and fruit.	 
tf	trifoliate	First leaves narrower and more entire than normal and with a characteristic rough texture; leaves above the 5th position usually with only three segments at the end of a very long petiole; internodes short, branches few; plant has a stiff, upright appearance; pedicels and peduncles reduced in length; unfruitful, but can be used as male or female parent.	5
tf	trifoliate	Leaf usually with only three segments, petiole elongate.	5
ti	tiny plant	Plant about 1/4 normal size; stiff leaves and branches.	 
tl	thiaminless	Cotyledons normal; leaves small, yellow, developing green veins, and dying prematurely; lethal; viable and normal if fed thiamine.	6
tl	thiaminless	Similar to original tl. Heterozygotes have an intermediate phenotype.	6
Tm-2	Tobacco mosaic virus resistance-2	High-level resistance to many strains of tobacco mosaic virus.	9
tmf-2	terminating flower-2	Early flowering, primary inflorescence is single-flowered at low penetrance.	 
tmf	terminating flower	First inflorescence with single, abnormal flower; lateral branches have normal inflorescences.	1
Tm	Tobacco mosaic virus resistance	Moderate level resistance to TMV.	2
tn	tenera	Plants attain 1/3 typical size; habit erect, rarely branching; stems slender; foliage color dark green early, becoming irregular with variable anthocyanin content later.	 
Tor	Tortilis	Coiled or downrolled cotyledons, leaves, or petals.	 
Tpi-2	Triosephosphate isomerase-2	 	4
tp	tripinnate leaf	Leaves tripinnately compound; retarded growth.	8
tr-2	truncata-2	Blue-green seedlings; smaller plant, leaves, pinnae; older leaves dying prematurely.	 
tri	temporarily red light insensitive	Insensitive to red light for up to 2 days; hypocotyls elongated and cotyledons reduced compared to wild type.	1
trs	tristis	Seedlings 1/4 normal size; leaves narrow, plicate and strongly pendant.	8
tr	truncata	Smaller, weak plant; short, gray-green leaves, yellowing prematurely.	 
t	tangerine	Fruit phenotype similar to original tangerine allele; also accumulates prolycopene in leaves.	10
t	tangerine	Furit and flower color typical of t; irregular yellowing near growing point.	10
t	tangerine	Tangerine or rich orange color of fruit flesh; pleiotropic on flower color, causing suffusion of an orange tone over the anthers.	10
t	tangerine	Yellowish growing point; light green foliage; resembles t in flower an fruit color	10
tur	turgida	Growth retarded at all stages; branching strong, internodes shortened, dense bush habit; leaf segments long petioled, light yellowish margins; flowers smaller.	 
tu	tumida	Plants reach 1/3-2/3 normal size, fewer branches; main stem bent at nodes, which are swollen; cotyledons and leaves deformed, wavy, blistered; petals and sepals narrow, wavy, and anther often fringed.	 
Ty-1	TYLCV resistance-1	Susceptible to TYLCV.	6
Ty-1	TYLCV resistance-1	Tolerant to TYLCV.	6
Ty-2	TYLCV resistance-2	Tolerant to TYLCV.	11
Ty-3	TYLCV resistance-3	Tolerance to TYLCV and other begamoviruses	6
Ty-4	TYLCV resistance-4	Resistance to TYLCV.	 
ub	umbraculiformis	Plants attain 2/3 typical size; habit erect; leaves coarser with flatter pinnae; young leaves convex.	 
uf	uniflora	Inflorescence with single flower.	 
ug	uniform gray-green	As of u except for grayish color.	 
ul	upright leaf	Upright leaf.	 
um-2	umbrosa-2	Small, lax bush; smaller pinnae, dark green to dull gray-green.	 
um-3	umbrosa-3	Broad, crowded, dark green pinnae; small leaves, short internodes; small, erect bush.	 
um	umbrosa	Mature leaves darker green, wilted appearance; later growth stunted; reduced root growth.	1
und	undulatifolia	Habit flatter than normal; cotyledons and primary leaves are narrow, acuminate, and margins are deeply notched; leaf segments small, keeled, wavy, and dull light grey-green.	 
uni-2	unicaulis-2	Narrow, slightly deformed cotyledons; very small pinnae, leaves, and plant; slow-growing.	 
uni-3	unicaulis-3	Strongly retarded growth and branching; pinnae 1/3 normal size; strong anthocyanin.	 
uni-4	unicaulis-4	Retarded growth and branching; very small, keeled pinnae.	 
uni	unicaulis	Purplish grey green seedlings; leaves and pinnae smaller, short, rounded,	11
uni	unicaulis	Weak, thin, upright, growth with great suppression of branching.	11
un	unijuga	Very small plant; narrow pinnae, cotyledons; fewer flowers.	 
upg	upright growth	upright growth habit.	 
up	upright pedicel	Pedicels straight, oriented upward.	11
u	uniform ripening	Dominant allele; dark shoulder; dark green radial striped opposite each locule of highly pigmented unripe fruit	10
u	uniform ripening	Presence of green shoulder on immature fruit.	10
u	uniform ripening	Resembles u except for partial dominance.	10
u	uniform ripening	Unripe fruits of uniform light green color, lacking normal darker shoulder; entire coloration of immature fruit somewhat lighter.	10
u	uniform ripening	Very light green shoulder; resembles u:G	10
v-2	virescent-2	New leaves pale under greenhouse conditions; frequently undistinguishable in field.	2
v-3	virescent-3	Leaves small, green and white patterned virescent. Expression may be dominant.	4
va-2	varia-2	Smaller plant; at flowering whitish yellow-green zones move from pinnae tips to bases.	 
val	valida	Sturdy shoots; firm, keeled, rugose, light green pinnae, blue-green below in the shoots.	 
var-2	variabilis-2	Smaller plant; at flowering shiny yellow-green growth zones, later turning light green.	 
var	variabilis	Leaves light green, yellow-green virescent; slightly smaller plant with shorter internodes.	7
va	varia	Bright yellow-green virescent.	8
va	varia	Like va:dec except older leaves retain yellow in region of veins.	8
ven	venosa	Variably reduced growth; tiny folded leaves, whitish yellow with green veins.	4
ver-2	versicolor-2	Smaller plant, leaves; light green pinnae weakly flecked in white, margins strongly uprolled.	 
ver	versicolor	Younger leaves with fine mottling of yellow; green veins.	4
ves-2	versiformis-2	Small, compact plant; dainty, shiny, yellowish pinnae, wavy margin.	 
ves	versiformis	Pinnae pointed, keeled, bright green; unripe fruit darker.	6
Ve	Verticillium resistance	Resistance to Verticillium wilt.	9
vga-2	virgulta-2	Leaves yellowish light-green, green margins and veins.	 
vga	virgulta	Smaller plant; short internodes; dull-green foliage, light yellow-green growing points.	8
vg	vegetative	Greatly deformed and usually functionless flowers.	4
vio-2	violacea-2	Light green foliage; shoot tips, petioles, leaf veins with strong anthocyanin.	 
vio	violacea	Heavy anthocyanin on stems and veins; dull light green leaf color.	 
vir	viridis	Early leaves dark green, third order leaf divisions.	 
vi	villous	Stems very hairy.	1
vlg	virescent light green	Seedlings 1/3 normal size with light green virescence, leaves broad,; mature plants normal size, leaves light green.	2
vms	variable male-sterile	Abortive anthers, reduced corolla high temperature; normal otherwise.	8
vo	virescent orange	Yellow virescent; mature leaves pale bluish green; fruit flesh orange, redder in outer walls.	 
vra-2	viridula-2	Yellowish light green leaves, darken after onset of flowering; growth retardation.	 
vra	viridula	Small plant; boat-shaped, dull light-green pinnae, wavy margin.	 
vrd	viroid	Scalloped cotyledons; highly distorted leaves with white speckled chlorosis; extreme environmental sensitivity, winter expression best.	1
vta	virgatula	Plants reach 1/4-1/2 normal size; cotyledons narrow; plant color dull light grey-green; stems blue with anthocyanin; young leaf segments rugose and striped yellow-olive.	 
vt	vieta	Plants attain 1/3-1/2 size; habit erect with robust main stem and few branches; young pinnae slightly undulated; foliage color normal except yellow-green virescent.	 
v	virescent	White virescent seedlings, white leaf margins; stunted growth.	11
w-2	wiry-2	More extreme strap shaped leaves, petals, and sepals than wiry, plant sterile.	 
w-3	wiry-3	Resembles wiry, except ovary more syncarpous.	 
w-4	wiry-4	Similar to previously described wiry mutants; leaves progressively more reduced.	4
w-5	wiry-5	Resembles previously described wiry mutants.	 
w-6	wiry-6	Cotyledons with shorter lamina, longer petiole, bent downward, grey-green; primary leaf almost string-like, later also strongly epinastic; next leaves with sac-like terminal segment on hair-like petiole; later leaves with 1-5 lateral segments, often partly fused; corrolla segments narrow; plants 1/3 to 1/2 normal size; produces seed in field.  Typical w phenotype can be selfed.	 
w-7	wiry-7	Smilar to w-6 but with more extreme expression and less fruit set; not allelic to w-6.	 
w-8	wiry-8	Similar to w-7.	 
Wa	White anthers	Anthers white or cream-colored.	8
wd	wilty dwarf	Grayish-green, droopy leaves; stunted plants; leaves droop when drought stressed.	9
wf	white flower	Corolla color is buff, light tan, or white.	3
Wlt	Wilty	Leaves overwilt when drought stressed.  Wilting under field or greenhouse conditions; marginal leaf narcrosis.	 
Wo	Wooly	All parts densely pubescent; leaves have a velvety, wilty appearance; resembles Wo^m and is homozygous viable.	2
Wo	Wooly	All vegetative parts, including hypocotyl densely tomentose, the long hairs being more abundant, branched, and stellate, but no longer than normal.  Increased development of other hair types.  Homozygous lethal, dhying before or in cotyledon stage, rarely later.  Homozygous seedlings exceedingly tomentose and with abnormally thick and shortened hypocotyl and cotyledons.	2
Wo	Wooly	Denser hairiness than Wo; homozygous lethal.	2
Wo	Wooly	Pelage on all parts wooly but less than Wo; homozygous viable; heterozygote intermediate.	2
wt-2	wilty-2	Leaf margin rolled upwards at all stages.	 
wt	wilty	Leaf margins curl adaxially	5
wv-2	white virescent-2	White, green-veined virescent, plant retarded.	9
wv-3	white virescent-3	Seedling 1/20 normal size, cotyledons, white or greenish white, virescent.	11
wv	white virescent	Plant retarded; cotyledons whitish yellow; leaves become white virescent, always with white speckled.	2
w	wiry	Cotyledons narrow, often with irregular margins; lower leaves nearly normal, but upper ones progressively become narrower until some are reduced to a threadlike midrib; all flower parts tend to be dialytic and highly abnormal; calyx tends to be petaloid; corolla greatly reduced; anther subulate and without pollen; pistil proliferated into many carpels, tending to be free and incompletely closed; completely sterile.	4
x-2	gametophytic factor-2	Altered transmission rate associated with c.	 
Xa-2	Xanthophyllic-2	Resembles Xa.	10
Xa-3	Xanthophyllic-3	Darker green than Xa.	10
xan-2	xantha-2	Yellow cotyledons; lethal.	 
xan-3	xantha-3	Yellow cotyledons; lethal.	 
xan-4	xantha-4	Yellow cotyledons; lethal.	 
xan-5	xantha-5	Yellow cotyledons; survives under optimal conditions.	 
xan	xantha	Yellow cotyledons; lethal.	 
Xa	Xanthophyllic	Cotyledons and leaves always distinguished from normal by yellow color, which, however, varies with the light intensity; under diffuse light or short day conditions, plants are light green, but under more intense light, plants become bright yellow, the light green plants growing and setting fruit better than the yellow ones; homozygous lethal, having bright yellow color, becoming white, shorter hypocotyl, and narrow cotyledons, and dying before two weeks old.	10
x	gametophytic factor	Ineffective microgametes associated with I.	11
y	colorless fruit epidermis	Fruit epidermis lacks normal yellow pigmentation; as a result, fruit appears pink instead of red..	1
yc	yellow calyx	Calyx turns yellow when fruit ripens.	 
yg-2	yellow-green-2	All foliar parts bright yellow under all conditions.	12
yg-2	yellow-green-2	Foliage chlorotic yellow-green under all conditions; long hypocotyls.	12
yg-3	yellow-green-3	Resembles yg4 with leaves appearing ragged.	 
yg-4	yellow-green-4	Foliage chlorotic whitish yellow-green under all conditions; leaves more deeply serrate, edges curled.	 
yg-5	yellow-green-5	Very yellow cotyledons and leaves; slow growing; good plant viability.	 
yg-7	yellow-green-7	Leaves light yellow-green, dotted in early growth; flowers normal; pollen inviable; growth weak.  Radiation induced.	 
yg-8	yellow-green-8	Leaves bright yellow at all stages.	8
yg-9	yellow-green-9	Pronounced yellow-green leaves, becoming somewhat darker with age.	 
yg	yellow-green	 	 
yg	yellow-green	All foliage yellow-green, vireescent.	 
ys	yellow seedlings	Lethal in early stage.	 
yv-2	yellow virescent-2	Smaller, irregular bush; short internodes; soft yellow, velvety growing points shading to normal green below; smaller than vel. C. R.	 
yv-4	yellow virescent-4	Narrow, yellow green leaflets, dark green veins, becoming irregular, grey green.	 
yv	yellow virescent	Light yellow-green leaves, paler at growing point, which has velvety appearance.	6
yv	yellow virescent	Male-sterile allele of yv; seedling yellow becoming yellow green (field) or light green (greenhouse).	6
yv	yellow virescent	Male sterile variegated allele of yv; green color frequently mutating to yv: ms	6
yv	yellow virescent	Pale yellow-green; virescent foliage.	6
yv	yellow virescent	Smaller, irregular bush; short internodes; soft yellow, velvety growing points shading to normal green below; smaller than vel.	6
